codigo,descricao,is_st,is_transferencia
2407,COMPRA DE MERCADORIA PARA USO OU CONSUMO CUJA MERCADORIA EST,False,False
2408,TRANSFERENCIA PARA INDUSTRIALIZACAO EM OPERACAO COM MERCADOR,False,True
2409,TRANSFERENCIA DE MERCADORIA SUJEITA AO REGIME DE S.T.,True,True
2410,DEVOLUCAO DE VENDA DE PRODUCAO DO ESTABELECIMENTO EM OPERACA,False,False
2411,DEVOLUCAO DE CLIENTE DE MERCADORIA SUJEITA AO REGIME DE S.T.,True,False
2414,"RETORNO DE PRODUCAO DO ESTABELECIMENTO, REMETIDA PARA VENDA",False,False
2415,"RETORNO DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS, RE",False,False
2500,ENTRADAS DE MERCADORIAS REMETIDAS COM FIM ESPECIFICO DE EXPO,False,False
2501,ENTRADA DE MERCADORIA RECEBIDA COM FIM ESPECIFICO DE EXPORTA,False,False
2503,ENTRADA DECORRENTE DE DEVOLUCAO DE PRODUTO REMETIDO COM FIM,False,False
2504,ENTRADA DECORRENTE DE DEVOLUCAO DE MERCADORIA REMETIDA COM F,False,False
2550,OPERACOES COM BENS DE ATIVO IMOBILIZADO E MATERIAIS PARA USO,False,False
2551,COMPRA DE BEM PARA O ATIVO IMOBILIZADO,False,False
2552,TRANSFERENCIA DE BEM DO ATIVO IMOBILIZADO,False,True
2553,DEVOLUCAO DE VENDA DE BEM DO ATIVO IMOBILIZADO,False,False
2554,RETORNO DE BEM DO ATIVO IMOBILIZADO REMETIDO PARA USO FORA D,False,False
2555,"ENTRADA DE BEM DO ATIVO IMOBILIZADO DE TERCEIRO, REMETIDO PA",False,False
2556,COMPRA DE MATERIAL PARA USO OU CONSUMO,False,False
2557,TRANSFERENCIA DE MATERIAL PARA USO OU CONSUMO,False,True
2600,CREDITOS E RESSARCIMENTOS DE ICMS,False,False
2603,RESSARCIMENTO DE ICMS RETIDO POR SUBSTITUICAO TRIBUTARIA,True,False
2650,"ENTRADAS DE COMBUSTIVEIS, DERIVADOS OU NAO DE PETROLEO E LUB",False,False
2651,COMPRA DE COMBUSTIVEL OU LUBRIFICANTE PARA INDUSTRIALIZACAO,False,False
2652,COMPRA DE COMBUSTIVEL OU LUBRIFICANTE PARA COMERCIALIZACAO,False,False
2653,COMPRA DE COMBUSTIVEL OU LUBRIFICANTE POR CONSUMIDOR OU USUA,False,False
2658,TRANSFERENCIA DE COMBUSTIVEL E LUBRIFICANTE PARA INDUSTRIALI,False,True
2659,TRANSFERENCIA DE COMBUSTIVEL E LUBRIFICANTE PARA COMERCIALIZ,False,True
2660,DEVOLUCAO DE VENDA DE COMBUSTIVEL OU LUBRIFICANTE DESTINADO,False,False
2661,DEVOLUCAO DE VENDA DE COMBUSTIVEL OU LUBRIFICANTE DESTINADO,False,False
2662,DEVOLUCAO DE VENDA DE COMBUSTIVEL OU LUBRIFICANTE DESTINADO,False,False
2663,ENTRADA DE COMBUSTIVEL OU LUBRIFICANTE PARA ARMAZENAGEM,False,False
2664,RETORNO DE COMBUSTIVEL OU LUBRIFICANTE REMETIDO PARA ARMAZEN,False,False
2900,OUTRAS ENTRADAS DE MERCADORIAS OU AQUISICOES DE SERVICOS,False,False
2901,ENTRADA PARA INDUSTRIALIZACAO POR ENCOMENDA,False,False
2902,RETORNO DE MERC. REMETIDA PARA INDUSTR. POR ENCOMENDA,False,False
2903,ENTRADA DE MERCADORIA REMETIDA PARA INDUSTRIALIZACAO E NAO A,False,False
2904,RETORNO DE REMESSA PARA VENDA FORA DO ESTABELECIMENTO,False,False
2905,ENTRADA DE MERCADORIA RECEBIDA PARA DEPOSITO EM DEPOSITO FEC,False,False
2906,RETORNO DE MERC.REMETIDA P/ DEPOSITO FECHADO OU ARM. GERAL,False,False
